time (Julian Date),observed_flux (solar flux unit (SFU)),adjusted_flux (solar flux unit (SFU))
2432187.2,0.0,0.0
2432188.2,0.0,0.0
2432189.2,0.0,0.0
2432190.2,0.0,0.0
2432191.2,0.0,0.0
2432192.2,0.0,0.0
2432193.2,0.0,0.0
2432194.2,0.0,0.0
2432195.2,0.0,0.0
2432196.2,0.0,0.0
2432197.2,0.0,0.0
2432198.2,0.0,0.0
2432199.2,0.0,0.0
2432200.2,0.0,0.0
2432201.2,0.0,0.0
2432202.2,0.0,0.0
2432203.2,0.0,0.0
2432204.2,0.0,0.0
2432205.2,0.0,0.0
2432206.2,0.0,0.0
2432207.2,0.0,0.0
2432208.2,0.0,0.0
2432209.2,0.0,0.0
2432210.2,0.0,0.0
2432211.2,0.0,0.0
2432212.2,0.0,0.0
2432213.2,0.0,0.0
2432214.2,0.0,0.0
2432215.2,0.0,0.0
2432216.2,0.0,0.0
2432217.2,0.0,0.0
2432218.2,0.0,0.0
2432219.2,0.0,0.0
2432220.2,0.0,0.0
2432221.2,0.0,0.0
2432222.2,0.0,0.0
2432223.2,0.0,0.0
2432224.2,0.0,0.0
2432225.2,0.0,0.0
2432226.2,0.0,0.0
2432227.2,0.0,0.0
2432228.2,0.0,0.0
2432229.2,0.0,0.0
2432230.2,0.0,0.0
2432231.2,260.4,254.0
2432232.2,0.0,0.0
2432233.2,0.0,0.0
2432234.2,234.2,228.8
2432235.2,0.0,0.0
2432236.2,183.1,179.0
2432237.2,167.4,163.7
2432238.2,0.0,0.0
2432239.2,0.0,0.0
2432240.2,0.0,0.0
2432241.2,167.7,164.3
2432242.2,196.7,192.8
2432243.2,174.6,171.2
2432244.2,0.0,0.0
2432245.2,237.9,233.5
2432246.2,0.0,0.0
2432247.2,0.0,0.0
2432248.2,0.0,0.0
2432249.2,0.0,0.0
2432250.2,311.1,306.1
2432251.2,310.7,305.9
2432252.2,326.2,321.3
2432253.2,350.5,345.4
2432254.2,0.0,0.0
2432255.2,330.2,325.8
2432256.2,307.3,303.3
2432257.2,309.0,305.2
2432258.2,363.9,359.6
2432259.2,270.1,267.1
2432260.2,225.5,223.1
2432261.2,0.0,0.0
2432262.2,181.4,179.7
2432263.2,158.5,157.1
2432264.2,142.2,141.0
2432265.2,142.2,141.1
2432266.2,150.8,149.7
2432267.2,160.2,159.1
2432268.2,0.0,0.0
2432269.2,165.3,164.4
2432270.2,161.5,160.7
2432271.2,182.5,181.7
2432272.2,195.1,194.3
2432273.2,199.8,199.1
2432274.2,227.4,226.8
2432275.2,227.4,226.9
2432276.2,258.5,258.1
2432277.2,252.5,252.2
2432278.2,261.1,261.0
2432279.2,302.0,302.0
2432280.2,296.4,296.6
2432281.2,347.2,347.6
2432282.2,0.0,0.0
2432283.2,457.0,458.1
2432284.2,423.8,425.0
2432285.2,356.5,357.7
2432286.2,334.8,336.2
2432287.2,298.6,300.0
2432288.2,234.4,235.6
2432289.2,0.0,0.0
2432290.2,168.0,169.1
2432291.2,0.0,0.0
2432292.2,0.0,0.0
2432293.2,156.8,158.1
2432294.2,158.5,159.9
2432295.2,153.8,155.2
2432296.2,0.0,0.0
2432297.2,157.6,159.2
2432298.2,165.4,167.2
2432299.2,186.9,189.0
2432300.2,226.8,229.5
2432301.2,237.6,240.6
2432302.2,296.6,300.4
2432303.2,0.0,0.0
2432304.2,281.5,285.4
2432305.2,294.0,298.3
2432306.2,291.8,296.2
2432307.2,258.7,262.7
2432308.2,265.1,269.3
2432309.2,272.4,276.9
2432310.2,0.0,0.0
2432311.2,262.5,267.1
2432312.2,219.5,223.5
2432313.2,235.8,240.2
2432314.2,226.3,230.6
2432315.2,220.3,224.6
2432316.2,221.6,226.0
2432317.2,0.0,0.0
2432318.2,235.4,240.3
2432319.2,255.7,261.2
2432320.2,191.1,195.3
2432321.2,181.9,185.9
2432322.2,230.4,235.6
2432323.2,234.3,239.7
2432324.2,0.0,0.0
2432325.2,247.6,253.5
2432326.2,282.4,289.3
2432327.2,328.0,336.1
2432328.2,293.6,301.0
2432329.2,327.6,336.0
2432330.2,0.0,0.0
2432331.2,0.0,0.0
2432332.2,299.6,307.6
2432333.2,293.6,301.5
2432334.2,337.5,346.7
2432335.2,326.7,335.7
2432336.2,289.3,297.4
2432337.2,253.6,260.7
2432338.2,0.0,0.0
2432339.2,252.7,260.0
2432340.2,219.1,225.5
2432341.2,214.8,221.1
2432342.2,214.8,221.2
2432343.2,210.5,216.8
2432344.2,237.6,244.8
2432345.2,0.0,0.0
2432346.2,0.0,0.0
2432347.2,239.3,246.7
2432348.2,182.6,188.3
